Date,Site ID,POC,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
03/11/2020,60370002,2,11.4,10,Azusa,24,100,34.1365,-117.92391
03/12/2020,60370002,2,26.3,25,Azusa,24,100,34.1365,-117.92391
03/13/2020,60370002,2,14.9,13,Azusa,24,100,34.1365,-117.92391
03/14/2020,60370002,2,13.8,12,Azusa,24,100,34.1365,-117.92391
03/15/2020,60370002,2,6.4,6,Azusa,24,100,34.1365,-117.92391
03/16/2020,60370002,2,12.5,11,Azusa,24,100,34.1365,-117.92391
03/17/2020,60370002,2,11.8,10,Azusa,24,100,34.1365,-117.92391
03/18/2020,60370002,2,22.6,21,Azusa,24,100,34.1365,-117.92391
03/20/2020,60370002,2,13.2,12,Azusa,24,100,34.1365,-117.92391
03/21/2020,60370002,2,11.7,10,Azusa,24,100,34.1365,-117.92391
03/22/2020,60370002,2,9.2,8,Azusa,24,100,34.1365,-117.92391
03/23/2020,60370002,2,21.9,20,Azusa,24,100,34.1365,-117.92391
03/24/2020,60370002,2,9.3,8,Azusa,20,83,34.1365,-117.92391
03/25/2020,60370002,2,9.4,8,Azusa,22,92,34.1365,-117.92391
03/26/2020,60370002,2,7.7,7,Azusa,24,100,34.1365,-117.92391
03/27/2020,60370002,2,9.5,8,Azusa,24,100,34.1365,-117.92391
03/28/2020,60370002,2,8.5,8,Azusa,24,100,34.1365,-117.92391
03/29/2020,60370002,2,5.6,5,Azusa,24,100,34.1365,-117.92391
03/30/2020,60370002,2,18.1,17,Azusa,24,100,34.1365,-117.92391
03/31/2020,60370002,2,38,36,Azusa,24,100,34.1365,-117.92391
04/01/2020,60370002,2,24.6,23,Azusa,24,100,34.1365,-117.92391
04/02/2020,60370002,2,12.6,11,Azusa,24,100,34.1365,-117.92391
04/03/2020,60370002,2,11.6,10,Azusa,24,100,34.1365,-117.92391
04/04/2020,60370002,2,16.1,15,Azusa,24,100,34.1365,-117.92391
04/05/2020,60370002,2,4.6,4,Azusa,24,100,34.1365,-117.92391
04/06/2020,60370002,2,10.6,9,Azusa,24,100,34.1365,-117.92391
04/07/2020,60370002,2,12.2,11,Azusa,24,100,34.1365,-117.92391
04/08/2020,60370002,2,15.8,14,Azusa,24,100,34.1365,-117.92391
04/09/2020,60370002,2,6.4,6,Azusa,24,100,34.1365,-117.92391
04/10/2020,60370002,2,8.7,8,Azusa,24,100,34.1365,-117.92391
04/11/2020,60370002,2,9.5,8,Azusa,24,100,34.1365,-117.92391
04/12/2020,60370002,2,4.6,4,Azusa,24,100,34.1365,-117.92391
04/13/2020,60370002,2,15.8,14,Azusa,24,100,34.1365,-117.92391
04/14/2020,60370002,2,15.6,14,Azusa,24,100,34.1365,-117.92391
04/15/2020,60370002,2,24.6,23,Azusa,24,100,34.1365,-117.92391
04/16/2020,60370002,2,16.9,15,Azusa,24,100,34.1365,-117.92391
04/17/2020,60370002,2,17.4,16,Azusa,24,100,34.1365,-117.92391
04/18/2020,60370002,2,8.7,8,Azusa,24,100,34.1365,-117.92391
04/19/2020,60370002,2,7.8,7,Azusa,24,100,34.1365,-117.92391
04/20/2020,60370002,2,11.5,10,Azusa,24,100,34.1365,-117.92391
04/21/2020,60370002,2,17,16,Azusa,24,100,34.1365,-117.92391
04/22/2020,60370002,2,17.1,16,Azusa,24,100,34.1365,-117.92391
04/23/2020,60370002,2,32.5,30,Azusa,24,100,34.1365,-117.92391
04/24/2020,60370002,2,25.6,24,Azusa,24,100,34.1365,-117.92391
04/25/2020,60370002,2,29,27,Azusa,24,100,34.1365,-117.92391
04/26/2020,60370002,2,19.6,18,Azusa,24,100,34.1365,-117.92391
04/27/2020,60370002,2,23.6,22,Azusa,24,100,34.1365,-117.92391
04/28/2020,60370002,2,25.1,24,Azusa,24,100,34.1365,-117.92391
04/29/2020,60370002,2,17.6,16,Azusa,24,100,34.1365,-117.92391
04/30/2020,60370002,2,16.2,15,Azusa,24,100,34.1365,-117.92391
05/01/2020,60370002,2,13.1,12,Azusa,24,100,34.1365,-117.92391
05/02/2020,60370002,2,13,12,Azusa,24,100,34.1365,-117.92391
05/03/2020,60370002,2,9.7,8,Azusa,24,100,34.1365,-117.92391
05/04/2020,60370002,2,17.1,16,Azusa,24,100,34.1365,-117.92391
05/05/2020,60370002,2,35.6,33,Azusa,24,100,34.1365,-117.92391
05/06/2020,60370002,2,45.4,42,Azusa,24,100,34.1365,-117.92391
05/07/2020,60370002,2,43.1,41,Azusa,24,100,34.1365,-117.92391
05/08/2020,60370002,2,34.1,32,Azusa,24,100,34.1365,-117.92391
05/09/2020,60370002,2,21.4,20,Azusa,24,100,34.1365,-117.92391
05/10/2020,60370002,2,9.5,8,Azusa,24,100,34.1365,-117.92391
05/11/2020,60370002,2,13.6,12,Azusa,24,100,34.1365,-117.92391
05/12/2020,60370002,2,10.4,9,Azusa,21,88,34.1365,-117.92391
05/13/2020,60370002,2,10.5,9,Azusa,24,100,34.1365,-117.92391
05/14/2020,60370002,2,10,9,Azusa,24,100,34.1365,-117.92391
05/15/2020,60370002,2,13.9,12,Azusa,24,100,34.1365,-117.92391
05/16/2020,60370002,2,21,20,Azusa,24,100,34.1365,-117.92391
05/17/2020,60370002,2,7,7,Azusa,24,100,34.1365,-117.92391
05/18/2020,60370002,2,8.5,8,Azusa,24,100,34.1365,-117.92391
05/19/2020,60370002,2,11.8,10,Azusa,24,100,34.1365,-117.92391
05/20/2020,60370002,2,13.8,12,Azusa,24,100,34.1365,-117.92391
05/21/2020,60370002,2,23.1,22,Azusa,24,100,34.1365,-117.92391
05/22/2020,60370002,2,15.5,14,Azusa,24,100,34.1365,-117.92391
05/23/2020,60370002,2,7.6,7,Azusa,24,100,34.1365,-117.92391
05/24/2020,60370002,2,10.8,9,Azusa,24,100,34.1365,-117.92391
05/25/2020,60370002,2,14.1,13,Azusa,24,100,34.1365,-117.92391
05/26/2020,60370002,2,27,25,Azusa,24,100,34.1365,-117.92391
05/27/2020,60370002,2,28.9,26,Azusa,24,100,34.1365,-117.92391
05/28/2020,60370002,2,16.6,15,Azusa,24,100,34.1365,-117.92391
05/29/2020,60370002,2,12.2,11,Azusa,24,100,34.1365,-117.92391
05/30/2020,60370002,2,9,8,Azusa,24,100,34.1365,-117.92391
05/31/2020,60370002,2,9.5,8,Azusa,24,100,34.1365,-117.92391
06/01/2020,60370002,2,18,17,Azusa,24,100,34.1365,-117.92391
06/02/2020,60370002,2,23.1,22,Azusa,24,100,34.1365,-117.92391
06/03/2020,60370002,2,30.3,28,Azusa,24,100,34.1365,-117.92391
06/04/2020,60370002,2,14.7,13,Azusa,24,100,34.1365,-117.92391
06/05/2020,60370002,2,10.2,9,Azusa,24,100,34.1365,-117.92391
06/06/2020,60370002,2,8.1,8,Azusa,24,100,34.1365,-117.92391
06/07/2020,60370002,2,7.2,7,Azusa,24,100,34.1365,-117.92391
06/08/2020,60370002,2,20,19,Azusa,24,100,34.1365,-117.92391
06/09/2020,60370002,2,16.5,15,Azusa,24,100,34.1365,-117.92391
06/10/2020,60370002,2,25.1,24,Azusa,24,100,34.1365,-117.92391
06/11/2020,60370002,2,39.3,37,Azusa,24,100,34.1365,-117.92391
06/12/2020,60370002,2,14.3,13,Azusa,24,100,34.1365,-117.92391
06/13/2020,60370002,2,10.4,9,Azusa,24,100,34.1365,-117.92391
06/14/2020,60370002,2,12.7,11,Azusa,24,100,34.1365,-117.92391
06/15/2020,60370002,2,18.1,17,Azusa,24,100,34.1365,-117.92391
06/16/2020,60370002,2,10.7,9,Azusa,24,100,34.1365,-117.92391
06/17/2020,60370002,2,12.4,11,Azusa,24,100,34.1365,-117.92391
06/18/2020,60370002,2,16.4,15,Azusa,24,100,34.1365,-117.92391
06/19/2020,60370002,2,10.9,9,Azusa,24,100,34.1365,-117.92391
06/20/2020,60370002,2,7.3,7,Azusa,24,100,34.1365,-117.92391
06/21/2020,60370002,2,8.6,8,Azusa,24,100,34.1365,-117.92391
06/22/2020,60370002,2,16.5,15,Azusa,24,100,34.1365,-117.92391
06/23/2020,60370002,2,18.6,17,Azusa,24,100,34.1365,-117.92391
06/24/2020,60370002,2,13.7,12,Azusa,24,100,34.1365,-117.92391
06/25/2020,60370002,2,13.5,12,Azusa,24,100,34.1365,-117.92391
06/26/2020,60370002,2,17.3,16,Azusa,24,100,34.1365,-117.92391
06/27/2020,60370002,2,19.4,18,Azusa,24,100,34.1365,-117.92391
06/28/2020,60370002,2,5.3,5,Azusa,24,100,34.1365,-117.92391
06/29/2020,60370002,2,19.8,18,Azusa,24,100,34.1365,-117.92391
06/30/2020,60370002,2,23.3,22,Azusa,22,92,34.1365,-117.92391
07/02/2020,60370002,2,14.1,13,Azusa,24,100,34.1365,-117.92391
07/03/2020,60370002,2,20.7,19,Azusa,24,100,34.1365,-117.92391
07/04/2020,60370002,2,17.5,16,Azusa,24,100,34.1365,-117.92391
07/05/2020,60370002,2,26.8,25,Azusa,24,100,34.1365,-117.92391
07/06/2020,60370002,2,30.3,28,Azusa,24,100,34.1365,-117.92391
07/07/2020,60370002,2,26.1,25,Azusa,24,100,34.1365,-117.92391
07/08/2020,60370002,2,13.8,12,Azusa,24,100,34.1365,-117.92391
07/09/2020,60370002,2,19.7,18,Azusa,24,100,34.1365,-117.92391
07/10/2020,60370002,2,24.6,23,Azusa,24,100,34.1365,-117.92391
