Date,Site ID,POC,Daily Max 1-hour NO2 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
01/01/2019,60370002,2,16.9,15,Azusa,24,100,34.1365,-117.92391
01/02/2019,60370002,2,31.7,29,Azusa,24,100,34.1365,-117.92391
01/03/2019,60370002,2,34.5,32,Azusa,24,100,34.1365,-117.92391
01/04/2019,60370002,2,41.8,39,Azusa,24,100,34.1365,-117.92391
01/05/2019,60370002,2,32.4,30,Azusa,24,100,34.1365,-117.92391
01/06/2019,60370002,2,22.8,21,Azusa,24,100,34.1365,-117.92391
01/07/2019,60370002,2,29.5,27,Azusa,24,100,34.1365,-117.92391
01/08/2019,60370002,2,22,21,Azusa,24,100,34.1365,-117.92391
01/09/2019,60370002,2,36,34,Azusa,24,100,34.1365,-117.92391
01/10/2019,60370002,2,36.5,34,Azusa,21,88,34.1365,-117.92391
01/11/2019,60370002,2,35.2,33,Azusa,24,100,34.1365,-117.92391
01/12/2019,60370002,2,31,29,Azusa,24,100,34.1365,-117.92391
01/13/2019,60370002,2,12.9,11,Azusa,24,100,34.1365,-117.92391
01/14/2019,60370002,2,20,19,Azusa,24,100,34.1365,-117.92391
01/15/2019,60370002,2,15.2,14,Azusa,24,100,34.1365,-117.92391
01/16/2019,60370002,2,21.6,20,Azusa,24,100,34.1365,-117.92391
01/17/2019,60370002,2,26.4,25,Azusa,24,100,34.1365,-117.92391
01/18/2019,60370002,2,27,25,Azusa,24,100,34.1365,-117.92391
01/19/2019,60370002,2,12.5,11,Azusa,24,100,34.1365,-117.92391
01/20/2019,60370002,2,20.1,19,Azusa,24,100,34.1365,-117.92391
01/21/2019,60370002,2,30.3,28,Azusa,24,100,34.1365,-117.92391
01/22/2019,60370002,2,26,25,Azusa,24,100,34.1365,-117.92391
01/23/2019,60370002,2,40.1,38,Azusa,24,100,34.1365,-117.92391
01/24/2019,60370002,2,31.9,29,Azusa,24,100,34.1365,-117.92391
01/25/2019,60370002,2,21.5,20,Azusa,24,100,34.1365,-117.92391
01/26/2019,60370002,2,35.3,33,Azusa,24,100,34.1365,-117.92391
