Date,Site ID,POC,Daily Mean PM10 Concentration,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,SITE_LATITUDE,SITE_LONGITUDE
11/29/2020,60370002,2,16,15,Azusa,1,100,34.1365,-117.92391
12/05/2020,60370002,2,25,23,Azusa,1,100,34.1365,-117.92391
12/11/2020,60370002,2,39,36,Azusa,1,100,34.1365,-117.92391
12/17/2020,60370002,2,42,39,Azusa,1,100,34.1365,-117.92391
12/23/2020,60370002,2,47,44,Azusa,1,100,34.1365,-117.92391
12/29/2020,60370002,2,9,8,Azusa,1,100,34.1365,-117.92391
01/01/2020,60370016,3,12,11,Glendora,1,100,34.14435,-117.85036
01/02/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
01/03/2020,60370016,3,14,13,Glendora,1,100,34.14435,-117.85036
01/04/2020,60370016,3,20,19,Glendora,1,100,34.14435,-117.85036
01/05/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
01/06/2020,60370016,3,14,13,Glendora,1,100,34.14435,-117.85036
01/07/2020,60370016,3,20,19,Glendora,1,100,34.14435,-117.85036
01/08/2020,60370016,3,21,19,Glendora,1,100,34.14435,-117.85036
01/09/2020,60370016,3,18,17,Glendora,1,100,34.14435,-117.85036
01/10/2020,60370016,3,17,16,Glendora,1,100,34.14435,-117.85036
01/11/2020,60370016,3,17,16,Glendora,1,100,34.14435,-117.85036
01/12/2020,60370016,3,18,17,Glendora,1,100,34.14435,-117.85036
01/13/2020,60370016,3,25,23,Glendora,1,100,34.14435,-117.85036
01/14/2020,60370016,3,34,31,Glendora,1,100,34.14435,-117.85036
01/15/2020,60370016,3,42,39,Glendora,1,100,34.14435,-117.85036
01/16/2020,60370016,3,28,26,Glendora,1,100,34.14435,-117.85036
01/17/2020,60370016,3,6,6,Glendora,1,100,34.14435,-117.85036
01/18/2020,60370016,3,8,7,Glendora,1,100,34.14435,-117.85036
01/19/2020,60370016,3,7,6,Glendora,1,100,34.14435,-117.85036
01/20/2020,60370016,3,24,22,Glendora,1,100,34.14435,-117.85036
01/21/2020,60370016,3,15,14,Glendora,1,100,34.14435,-117.85036
01/22/2020,60370016,3,16,15,Glendora,1,100,34.14435,-117.85036
