,date_use,total_cases,new_case,avg_cases,total_deaths,new_deaths,avg_deaths
592,28/06/2020,109185,1640,2452,3384,40,30
593,27/06/2020,107545,2067,2429,3344,24,29
594,26/06/2020,105478,2622,2400,3320,30,31
595,25/06/2020,102856,2602,2329,3290,26,32
596,24/06/2020,100254,2768,2263,3264,39,32
597,23/06/2020,97486,2740,2184,3225,22,32
598,22/06/2020,94746,2726,2090,3203,30,33
599,21/06/2020,92020,1479,2020,3173,30,33
600,20/06/2020,90541,1865,1950,3143,39,33
601,19/06/2020,88676,2126,1873,3104,37,31
602,18/06/2020,86550,2134,1796,3067,29,30
603,17/06/2020,84416,2221,1700,3038,40,30
604,16/06/2020,82195,2076,1607,2998,24,28
605,15/06/2020,80119,2239,1508,2974,32,30
606,14/06/2020,77880,987,1417,2942,29,30
607,13/06/2020,76893,1329,1378,2913,28,31
608,12/06/2020,75564,1587,1345,2885,30,32
609,11/06/2020,73977,1458,1317,2855,25,34
610,10/06/2020,72519,1570,1328,2830,26,37
611,09/06/2020,70949,1385,1296,2804,37,40
612,08/06/2020,69564,1606,1300,2767,38,39
613,07/06/2020,67958,711,1246,2729,35,39
614,06/06/2020,67247,1098,1215,2694,36,38
615,05/06/2020,66149,1390,1189,2658,40,39
616,04/06/2020,64759,1539,1206,2618,46,38
617,03/06/2020,63220,1345,1168,2572,45,36
618,02/06/2020,61875,1413,1177,2527,30,36
619,01/06/2020,60462,1229,1218,2497,41,38
620,31/05/2020,59233,491,1180,2456,31,36
621,30/05/2020,58742,915,1183,2425,37,37
622,29/05/2020,57827,1507,1159,2388,33,37
623,28/05/2020,56320,1278,1082,2355,32,38
624,27/05/2020,55042,1404,1034,2323,50,38
625,26/05/2020,53638,1705,998,2273,41,35
626,25/05/2020,51933,958,890,2232,28,36
627,24/05/2020,50975,511,920,2204,39,38
628,23/05/2020,50464,747,926,2165,35,38
629,22/05/2020,49717,969,928,2130,43,41
630,21/05/2020,48748,947,950,2087,28,41
631,20/05/2020,47801,1152,992,2059,30,41
632,19/05/2020,46649,944,963,2029,48,43
633,18/05/2020,45705,1171,987,1981,46,43
634,17/05/2020,44534,552,989,1935,38,41
635,16/05/2020,43982,762,995,1897,52,40
636,15/05/2020,43220,1120,987,1845,43,40
637,14/05/2020,42100,1242,970,1802,33,41
638,13/05/2020,40858,949,930,1769,43,43
639,12/05/2020,39909,1114,938,1726,48,45
640,11/05/2020,38795,1187,958,1678,28,43
641,10/05/2020,37608,588,923,1650,32,45
642,09/05/2020,37020,708,906,1618,52,47
643,08/05/2020,36312,1004,907,1566,50,47
644,07/05/2020,35308,957,896,1516,50,45
645,06/05/2020,34351,1009,891,1466,52,44
646,05/05/2020,33342,1256,889,1414,37,43
647,04/05/2020,32086,936,847,1377,44,45
648,03/05/2020,31150,474,868,1333,44,44
649,02/05/2020,30676,712,887,1289,50,44
650,01/05/2020,29964,929,914,1239,36,42
651,30/04/2020,29035,921,927,1203,45,43
652,29/04/2020,28114,994,934,1158,42,44
653,28/04/2020,27120,961,904,1116,54,45
654,27/04/2020,26159,1086,892,1062,37,43
655,26/04/2020,25073,606,872,1025,42,44
656,25/04/2020,24467,901,856,983,39,43
657,24/04/2020,23566,1020,814,944,44,43
658,23/04/2020,22546,972,788,900,51,43
659,22/04/2020,21574,783,759,849,47,44
660,21/04/2020,20791,878,769,802,40,42
661,20/04/2020,19913,943,738,762,47,43
662,19/04/2020,18970,493,700,715,36,42
663,18/04/2020,18477,612,692,679,38,42
664,17/04/2020,17865,837,673,641,39,41
665,16/04/2020,17028,766,636,602,58,40
666,15/04/2020,16262,851,609,544,35,36
667,14/04/2020,15411,663,575,509,47,37
668,13/04/2020,14748,681,580,462,41,34
669,12/04/2020,14067,437,560,421,37,31
670,11/04/2020,13630,475,582,384,30,29
671,10/04/2020,13155,581,599,354,30,27
672,09/04/2020,12574,576,629,324,35,27
673,08/04/2020,11998,610,635,289,40,25
674,07/04/2020,11388,699,636,249,25,22
675,06/04/2020,10689,541,627,224,17,21
676,05/04/2020,10148,594,638,207,23,20
677,04/04/2020,9554,592,607,184,21,19
678,03/04/2020,8962,790,579,163,26,17
679,02/04/2020,8172,618,520,137,23,15
680,01/04/2020,7554,617,484,114,19,12
681,31/03/2020,6937,640,459,95,17,10
682,30/03/2020,6297,617,408,78,11,8
683,29/03/2020,5680,376,362,67,15,8
684,28/03/2020,5304,392,345,52,8,6
685,27/03/2020,4912,378,317,44,9,5
686,26/03/2020,4534,370,301,35,4,4
687,25/03/2020,4164,439,280,31,7,4
688,24/03/2020,3725,281,244,24,3,3
689,23/03/2020,3444,299,234,21,7,3
690,22/03/2020,3145,257,224,14,4,2
691,21/03/2020,2888,198,211,10,3,1
692,20/03/2020,2690,265,204,7,3,1
693,19/03/2020,2425,219,188,4,4,1
694,18/03/2020,2206,188,179,0,0,0
695,17/03/2020,2018,212,171,0,0,0
696,16/03/2020,1806,229,155,0,0,0
697,15/03/2020,1577,169,134,0,0,0
698,14/03/2020,1408,145,117,0,0,0
699,13/03/2020,1263,152,102,0,0,0
700,12/03/2020,1111,158,87,0,0,0
701,11/03/2020,953,131,69,0,0,0
702,10/03/2020,822,98,53,0,0,0
703,09/03/2020,724,88,41,0,0,0
704,08/03/2020,636,48,31,0,0,0
705,07/03/2020,588,41,28,0,0,0
706,06/03/2020,547,43,NA,0,0,NA
707,05/03/2020,504,34,NA,0,0,NA
708,04/03/2020,470,19,NA,0,0,NA
709,03/03/2020,451,13,NA,0,0,NA
710,02/03/2020,438,19,NA,0,0,NA
711,01/03/2020,419,25,NA,0,0,NA
